name,team,teamSlug,role,pma,pfc,pmaRange,pfcRange,slot,expectedTitolarita,expectedFantamedia,roleMantra,idFantacalcio,lastThreeYearTitolarity,lastFiveYearVotoBase,lastFiveYearFantamedia,lastFiveYearTitolarity,lastYearVotoBase,lastYearFantamedia,lastYearTitolarity,lastFiveMatchesVotoBase,lastFiveMatchesFantamedia,lastFiveMatchesTitolarity,currentSeasonVotoBase,currentSeasonFantamedia,currentSeasonTitolarity,playerStatus,penaltyProbability,freeKickProbability,unavailableUntilRound,fasciaFc,fasciaFr,svinc,commentoFr,africaUntilRound,position,modulo,coach,commentoFrTeam,rientroIncerto,newArrival,calciomercato,updatedAt,dpfcpma
CAMARDA,Milan,MIL,A,"5,4",1,4-8,1-2,6,71,"6,21",,6519,0,0,0,0,"5,67","5,64","4736,84",0,0,0,0,0,0,P,0,0,0,Jolly,Jolly,9, ,0,11,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-4
COMUZZO,Torino,TOR,D,"7,9","18,4",6-11,14-23,4,90,"6,14",,6495,"4736,84",0,0,0,"5,75","5,75","6315,79",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"5,7", ,0,2,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,10
LEAO,Milan,MIL,A,"85,1","145,9",72-99,125-168,2,86,"6,99",,4510,0,0,0,0,"5,88","6,86","7368,42",0,0,0,0,0,0,T,0,0,0,Semi-Top,Semi-Top,0, ,0,10,0, , ,FALSE,FALSE,"Fortemente in dubbio la sua permanenza, cercato da Chelsea e in Arabia",2026-08-20T09:36:19.000Z,61
DOUGLAS LUIZ,Juventus,JUV,C,"11,8",1,9-16,1-2,8,72,"6,06",,4911,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,Jolly,Jolly,"8,6", ,0,6,0, , ,FALSE,TRUE,,2026-08-20T09:36:19.000Z,-11
ADAMS C.,Torino,TOR,A,"15,9","44,1",11-21,34-56,3,86,"6,52",,6646,0,0,0,0,"5,98","6,64","8421,05",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"1,1", ,0,11,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,28
CUTRONE,Monza,MON,A,"26,1","42,2",20-33,32-53,4,86,"6,5",,2155,0,0,0,0,"5,71","5,93","3684,21",0,0,0,0,0,0,B,20,0,0,TitLowCost,TitLowCost,"0,2","Classico numero 9 con fiuto del gol, tempismo e grinta. Bravo di testa e di piede (soprattutto destro), ha un buon senso della posizione e sa attaccare la profondità. Non è un giocatore di purezza tecnica elevatissima, ma è concreto, aggressivo e capace di finalizzare le occasioni. Può essere un buon quarto/quinto slot.",0,10,0, , ,FALSE,TRUE,,2026-08-20T09:36:19.000Z,16
DA CUNHA,Como,COM,C,"84,7","79,5",78-92,64-96,2,92,"6,79",,5559,0,0,0,0,"6,34","6,91","9210,53",0,0,0,0,0,0,T,70,10,0,OttimoTit,OttimoTit,0,"È un Semitop tra i centrocampisti, non ci sono dubbi. Oltre a essere imprescindibile è anche il rigorista del Como.",0,6,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-5
BONNY,Inter,INT,A,"28,1","36,3",23-34,28-46,4,80,"6,53",,6669,0,0,0,0,"6,15","6,83","7105,26",0,0,0,0,0,0,P,0,0,0,TitLowCost,TitLowCost,0,"La stagione è lunga e le competizioni sono tante, come quinto slot avere Bonny potrebbe essere un'ottima mossa.",0,10,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,8
THURAM K.,Juventus,JUV,C,"31,8","28,2",28-37,22-36,3,88,"6,54",,5562,0,0,0,0,"6,1","6,4","8947,37",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,0, ,0,7,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-4
ESPOSITO SE.,Cagliari,CAG,A,13,1,9-18,1-2,6,60,"6,43",,4463,0,0,0,0,"6,26","6,88","9473,68",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"1,7", ,0,10,0, , ,FALSE,FALSE,"In rotta con la società, rimarrà in Serie A in un medio/top club.",2026-08-20T09:36:19.000Z,-12
